year,period,algorithm,sourceYear,sourcePeriod,sourcePosition,sourceNumber,unwrapped,predicted,actual,success
2026,44,L14-P1-A2-B15,2026,30,1,3,21,21,46|17|39|47|48|38|19,1
2026,45,L14-P1-A2-B15,2026,31,1,38,91,42,20|38|22|13|42|27|1,0
2026,46,L14-P1-A2-B15,2026,32,1,23,61,12,13|9|20|22|39|36|3,1
2026,47,L14-P1-A2-B15,2026,33,1,14,43,43,40|35|23|42|46|47|39,1
2026,48,L14-P1-A2-B15,2026,34,1,38,91,42,8|38|29|32|46|16|24,1
2026,49,L14-P1-A2-B15,2026,35,1,32,79,30,28|42|22|49|12|31|13,1
2026,50,L14-P1-A2-B15,2026,36,1,44,103,5,10|13|30|37|33|44|23,1
2026,51,L14-P1-A2-B15,2026,37,1,34,83,34,40|42|44|6|14|38|1,1
2026,52,L14-P1-A2-B15,2026,38,1,6,27,27,15|46|14|13|40|35|38,1
2026,53,L14-P1-A2-B15,2026,39,1,31,77,28,16|12|33|17|41|18|15,1
2026,54,L14-P1-A2-B15,2026,40,1,46,107,9,37|30|11|19|49|32|48,1
2026,55,L14-P1-A2-B15,2026,41,1,2,19,19,31|28|20|21|39|9|14,1
2026,56,L14-P1-A2-B15,2026,42,1,38,91,42,45|9|6|7|10|26|48,1
2026,57,L14-P1-A2-B15,2026,43,1,9,33,33,21|29|40|30|26|34|23,1
2026,58,L14-P1-A2-B15,2026,44,1,46,107,9,20|38|13|21|33|40|31,1
2026,59,L14-P1-A2-B15,2026,45,1,20,55,6,29|19|24|43|28|12|10,1
2026,60,L14-P1-A2-B15,2026,46,1,13,41,41,5|27|40|34|39|1|9,1
2026,61,L14-P1-A2-B15,2026,47,1,40,95,46,46|17|8|25|2|37|29,0
2026,62,L14-P1-A2-B15,2026,48,1,8,31,31,46|29|6|49|35|42|24,1
2026,63,L14-P1-A2-B15,2026,49,1,28,71,22,36|26|37|2|44|31|28,1
2026,64,L14-P1-A2-B15,2026,50,1,10,35,35,8|23|40|44|34|2|18,1
2026,65,L14-P1-A2-B15,2026,51,1,40,95,46,2|45|17|38|33|24|5,1
2026,66,L14-P1-A2-B15,2026,52,1,15,45,45,24|20|36|44|2|28|37,1
2026,67,L14-P1-A2-B15,2026,53,1,16,47,47,15|30|6|1|26|9|5,1
2026,68,L14-P1-A2-B15,2026,54,1,37,89,40,49|2|1|26|38|21|23,1
2026,69,L14-P1-A2-B15,2026,55,1,31,77,28,23|16|10|34|8|36|24,1
2026,70,L14-P1-A2-B15,2026,56,1,45,105,7,47|17|23|10|41|7|25,0
2026,71,L14-P1-A2-B15,2026,57,1,21,57,8,44|30|25|5|41|8|48,0
2026,72,L14-P1-A2-B15,2026,58,1,20,55,6,12|28|1|42|25|44|46,1
2026,73,L14-P1-A2-B15,2026,59,1,29,73,24,7|29|1|33|36|14|34,1
2026,74,L14-P1-A2-B15,2026,60,1,5,25,25,12|31|49|25|24|32|10,0
2026,75,L14-P1-A2-B15,2026,61,1,46,107,9,19|22|26|20|41|27|33,1
2026,76,L14-P1-A2-B15,2026,62,1,46,107,9,12|7|24|22|3|41|2,1
2026,77,L14-P1-A2-B15,2026,63,1,36,87,38,37|32|46|25|39|30|29,1
2026,78,L14-P1-A2-B15,2026,64,1,8,31,31,18|17|10|33|2|8|46,1
2026,79,L14-P1-A2-B15,2026,65,1,2,19,19,49|34|6|20|4|43|35,1
2026,80,L14-P1-A2-B15,2026,66,1,24,63,14,21|18|17|48|9|42|3,1
2026,81,L14-P1-A2-B15,2026,67,1,15,45,45,4|36|14|15|35|41|17,1
2026,82,L14-P1-A2-B15,2026,68,1,49,113,15,3|21|33|37|41|25|27,1
2026,83,L14-P1-A2-B15,2026,69,1,23,61,12,46|8|23|36|30|1|5,1
2026,84,L14-P1-A2-B15,2026,70,1,47,109,11,7|24|2|5|20|31|16,1
2026,85,L14-P1-A2-B15,2026,71,1,44,103,5,14|13|27|33|6|20|19,1
2026,86,L14-P1-A2-B15,2026,72,1,12,39,39,15|36|14|24|26|34|12,1
2026,87,L14-P1-A2-B15,2026,73,1,7,29,29,17|1|21|29|47|2|26,0
2026,88,L14-P1-A2-B15,2026,74,1,12,39,39,16|46|18|10|12|42|27,1
2026,89,L14-P1-A2-B15,2026,75,1,19,53,4,26|44|34|5|21|22|49,1
2026,90,L14-P1-A2-B15,2026,76,1,12,39,39,48|29|20|17|37|8|36,1
2026,91,L14-P1-A2-B15,2026,77,1,37,89,40,8|17|32|5|42|24|37,1
2026,92,L14-P1-A2-B15,2026,78,1,18,51,2,46|42|25|47|38|19|6,1
2026,93,L14-P1-A2-B15,2026,79,1,49,113,15,13|18|26|47|48|4|40,1
2026,94,L14-P1-A2-B15,2026,80,1,21,57,8,16|25|4|28|43|38|17,1
2026,95,L14-P1-A2-B15,2026,81,1,4,23,23,15|39|1|38|21|48|35,1
2026,96,L14-P1-A2-B15,2026,82,1,3,21,21,35|37|26|5|25|15|43,1
2026,97,L14-P1-A2-B15,2026,83,1,46,107,9,28|8|44|26|29|46|11,1
2026,98,L14-P1-A2-B15,2026,84,1,7,29,29,24|8|3|14|32|49|17,1
2026,99,L14-P1-A2-B15,2026,85,1,14,43,43,10|32|22|18|28|17|12,1
2026,100,L14-P1-A2-B15,2026,86,1,15,45,45,24|45|4|32|3|48|33,0
2026,101,L14-P1-A2-B15,2026,87,1,17,49,49,22|8|2|34|20|12|39,1
2026,102,L14-P1-A2-B15,2026,88,1,16,47,47,47|3|32|46|39|36|20,0
2026,103,L14-P1-A2-B15,2026,89,1,26,67,18,34|3|1|30|39|4|6,1
2026,104,L14-P1-A2-B15,2026,90,1,48,111,13,20|45|39|49|3|48|1,1
2026,105,L14-P1-A2-B15,2026,91,1,8,31,31,32|44|17|19|11|36|28,1
2026,106,L14-P1-A2-B15,2026,92,1,46,107,9,31|48|5|11|46|40|22,1
2026,107,L14-P1-A2-B15,2026,93,1,13,41,41,35|10|41|43|34|6|49,0
2026,108,L14-P1-A2-B15,2026,94,1,16,47,47,6|30|26|14|48|40|45,1
2026,109,L14-P1-A2-B15,2026,95,1,15,45,45,38|7|19|24|43|8|16,1
2026,110,L14-P1-A2-B15,2026,96,1,35,85,36,40|3|43|29|45|19|30,1
2026,111,L14-P1-A2-B15,2026,97,1,28,71,22,24|23|21|41|38|33|1,1
2026,112,L14-P1-A2-B15,2026,98,1,24,63,14,15|19|30|7|44|10|9,1
2026,113,L14-P1-A2-B15,2026,99,1,10,35,35,42|22|15|17|32|49|2,1
2026,114,L14-P1-A2-B15,2026,100,1,24,63,14,45|41|10|1|36|25|30,1
2026,115,L14-P1-A2-B15,2026,101,1,22,59,10,21|16|25|29|8|7|4,1
2026,116,L14-P1-A2-B15,2026,102,1,47,109,11,15|46|16|10|48|33|22,1
2026,117,L14-P1-A2-B15,2026,103,1,34,83,34,45|2|46|33|19|7|16,1
2026,118,L14-P1-A2-B15,2026,104,1,20,55,6,38|37|22|46|49|40|8,1
2026,119,L14-P1-A2-B15,2026,105,1,32,79,30,38|18|32|22|30|40|11,0
2026,120,L14-P1-A2-B15,2026,106,1,31,77,28,18|24|7|23|48|20|6,1
2026,121,L14-P1-A2-B15,2026,107,1,35,85,36,45|21|35|48|6|20|44,1
2026,122,L14-P1-A2-B15,2026,108,1,6,27,27,18|23|15|22|25|45|1,1
2026,123,L14-P1-A2-B15,2026,109,1,38,91,42,39|23|49|17|42|44|46,0
2026,124,L14-P1-A2-B15,2026,110,1,40,95,46,46|5|10|17|12|22|39,0
2026,125,L14-P1-A2-B15,2026,111,1,24,63,14,16|19|7|30|38|39|31,1
2026,126,L14-P1-A2-B15,2026,112,1,15,45,45,15|9|5|3|1|10|49,1
2026,127,L14-P1-A2-B15,2026,113,1,42,99,1,14|8|27|3|7|29|45,1
2026,128,L14-P1-A2-B15,2026,114,1,45,105,7,25|46|2|7|45|42|37,0
2026,129,L14-P1-A2-B15,2026,115,1,21,57,8,34|7|40|21|17|25|41,1
2026,130,L14-P1-A2-B15,2026,116,1,15,45,45,41|26|9|11|5|25|29,1
2026,131,L14-P1-A2-B15,2026,117,1,45,105,7,12|40|21|32|1|25|7,0
2026,132,L14-P1-A2-B15,2026,118,1,38,91,42,48|11|20|44|39|35|30,1
2026,133,L14-P1-A2-B15,2026,119,1,38,91,42,38|14|23|1|26|44|7,1
2026,134,L14-P1-A2-B15,2026,120,1,18,51,2,24|46|40|44|22|49|37,1
2026,135,L14-P1-A2-B15,2026,121,1,45,105,7,8|35|9|20|18|47|30,1
2026,136,L14-P1-A2-B15,2026,122,1,18,51,2,1|14|24|17|15|12|48,1
2026,137,L14-P1-A2-B15,2026,123,1,39,93,44,24|20|32|5|19|7|26,1
2026,138,L14-P1-A2-B15,2026,124,1,46,107,9,38|22|6|24|20|46|49,1
